School Name,School Type,Address,Postcode,Phone #,LGA Name
Dederang Primary School,Primary,4364 Kiewa Valley Highway,3691,02 6028 9331,Alpine (S)
Eppalock Primary School,Primary,149 Patons Road,3551,03 5439 6366,Greater Bendigo (C)
Silvan Primary School,Primary,269 Monbulk Road,3795,03 9737 9258,Yarra Ranges (S)
Wendouree Primary School,Primary,1224 Howitt Street,3355,03 5339 1229,Ballarat (C)
Lancaster Primary School,Primary,8 Weller Road,3620,03 5855 2560,Campaspe (S)
Raywood Primary School,Primary,18-22 Sandhurst Street,3570,03 5436 1392,Greater Bendigo (C)
Drummond Primary School,Primary,9 Lauriston Road,3461,03 5423 9152,Hepburn (S)
Puckapunyal Primary School,Primary,Alamein Road,3662,03 5793 1288,Mitchell (S)
Landsborough Primary School,Primary,82 McKinlay Street,3384,03 5356 9362,Pyrenees (S)
Lysterfield Primary School,Primary,Bellfield Drive,3156,03 9752 7953,Knox (C)
Winton Primary School,Primary,Fox Street,3673,03 5766 4233,Benalla (RC)
Merrigum Primary School,Primary,Judd Avenue,3618,03 5855 2275,Greater Shepparton (C)
Bethanga Primary School,Primary,5 Beardmore Street,3691,02 6026 4263,Towong (S)
Abbotsford Primary School,Primary,Lithgow Street,3067,03 9428 5977,Yarra (C)
Newtown Primary School,Primary,Aberdeen Street,3220,03 5229 9730,Greater Geelong (C)
Windsor Primary School,Primary,Hornby Street,3181,03 9521 3711,Stonnington (C)
Narre Warren North Primary School,Primary,15-31 A'beckett Road,3804,03 9796 8261,Casey (C)
Buchan Primary School,Primary,4 Dalley Street,3885,03 5155 9241,East Gippsland (S)
Anakie Primary School,Primary,2125-2135 Ballan Road,3213,03 5284 1291,Greater Geelong (C)
Moolap Primary School,Primary,30 Wills Cres,3221,03 5248 2284,Greater Geelong (C)
Footscray City Primary School,Primary,10 Hyde Street,3011,03 9687 2826,Maribyrnong (C)
Newham Primary School,Primary,1271 Rochford Road,3442,03 5427 0235,Macedon Ranges (S)
Plenty Parklands Primary School,Primary,48 Blossom Park Drive,3082,03 9404 4311,Whittlesea (C)
White Hills Primary School,Primary,16 Plumridge Street,3550,03 5443 0799,Greater Bendigo (C)
Mount Egerton Primary School,Primary,58 Church Street,3352,03 5368 9357,Moorabool (S)
Drouin Primary School,Primary,153-161 Princes Way,3818,03 5625 1666,Baw Baw (S)
Wunghnu Primary School,Primary,Brunton Street,3635,03 5862 1701,Moira (S)
Maroona Primary School,Primary,7431 Mortlake-ararat Road,3377,03 5354 7622,Ararat (RC)
Jindivick Primary School,Primary,1080 Jacksons Track,3818,03 5628 5293,Baw Baw (S)
Talgarno Primary School,Primary,14 Talgarno School Lane,3691,02 6020 1143,Towong (S)
Bungaree Primary School,Primary,348 Bungaree-wallace Road,3352,03 5334 0253,Moorabool (S)
Little River Primary School,Primary,21 Flinders Street,3211,03 5283 1214,Wyndham (C)
Cowwarr Primary School,Primary,Church Street,3857,03 5148 9271,Wellington (S)
Morang South Primary School,Primary,77 Gorge Road,3752,03 9404 1548,Whittlesea (C)
Camp Hill Primary School,Primary,50 Gaol Rd,3550,03 5443 3367,Greater Bendigo (C)
Pyalong Primary School,Primary,10-14 Bourke Street,3521,03 5785 1291,Mitchell (S)
Winchelsea Primary School,Primary,60 Main Street,3241,03 5267 2134,Surf Coast (S)
Buln Buln Primary School,Primary,15 Old Sale Road,3821,03 5626 8330,Baw Baw (S)
Macarthur Street Primary School,Primary,401 Macarthur Street,3350,03 5332 4746,Ballarat (C)
Elliminyt Primary School,Primary,135 Slater Street,3249,03 5231 5208,Colac-Otway (S)
Mornington Primary School,Primary,Vale Street,3931,03 5976 5500,Mornington Peninsula (S)
Hamilton North Primary School,Primary,34 - 50 Andrews Street,3300,03 5571 2433,Southern Grampians (S)
Mount Blowhard Primary School,Primary,527 Millers Road,3352,03 5334 6354,Ballarat (C)
Creswick North Primary School,Primary,93 Macs Street,3363,03 5345 2012,Hepburn (S)
Black Hill Primary School,Primary,601 Chisholm Street,3350,03 5332 4544,Ballarat (C)
Brighton Beach Primary School,Primary,19 Windermere Crescent,3186,03 9591 0888,Bayside (C)
Castlemaine North Primary School,Primary,270 Barker Street,3450,03 5472 1391,Mount Alexander (S)
Yarrambat Primary School,Primary,552 Yan Yean Road,3091,03 9436 1464,Nillumbik (S)
Thoona Primary School,Primary,15 Johnston Street,3726,03 5765 2233,Benalla (RC)
Casterton Primary School,Primary,14 - 24 Mc Pherson Street,3311,03 5581 1522,Glenelg (S)
Nathalia Primary School,Primary,5 Bromley Street,3638,03 5866 2677,Moira (S)
Chilwell Primary School,Primary,313a Pakington Street,3220,03 5221 2738,Greater Geelong (C)
Greensborough Primary School,Primary,130 Grimshaw Street,3088,03 9435 1496,Banyule (C)
Teesdale Primary School,Primary,Main Road,3328,03 5281 5218,Golden Plains (S)
Cranbourne Primary School,Primary,Bakewell Street,3977,03 5996 1744,Casey (C)
Katamatite Primary School,Primary,4 - 6 Currajong Avenue,3649,03 5865 1242,Moira (S)
Buangor Primary School,Primary,26 School Road,3375,03 5354 5513,Ararat (RC)
Leitchville Primary School,Primary,2-4 Hawken Street,3567,03 5456 7438,Gannawarra (S)
Whittlesea Primary School,Primary,2425-2435 Plenty Road,3757,03 9716 2140,Whittlesea (C)
Little Bendigo Primary School,Primary,8 Monte Street,3350,03 5332 6317,Ballarat (C)
Urquhart Park Primary School,Primary,49 Inkerman Street,3350,03 5330 5400,Ballarat (C)
Warragul Primary School,Primary,44 Bowen Street,3820,03 5623 2460,Baw Baw (S)
Kangaroo Ground Primary School,Primary,Cr Graham&Eltham-Yarra Glen Rd,3097,03 9712 0292,Nillumbik (S)
Traralgon South Primary School,Primary,13 - 19 Keith Morgan Drive,3844,03 5195 5244,Latrobe (C)
Coleraine Primary School,Primary,124 Church Street,3315,03 5575 2057,Southern Grampians (S)
Lake Charm Primary School,Primary,1939 Murray Valley Highway,3581,03 5457 9244,Gannawarra (S)
Ripplebrook Primary School,Primary,2260 Westernport Road,3818,03 5627 6278,Baw Baw (S)
Numurkah Primary School,Primary,12 Quinn Street,3636,03 5862 1426,Moira (S)
Moe (Albert Street) Primary School,Primary,40 Albert Street,3825,03 5127 1966,Latrobe (C)
Geelong South Primary School,Primary,200 Yarra Street,3220,03 5221 4047,Greater Geelong (C)
Bayswater Primary School,Primary,2 Birch Street,3153,03 9721 3755,Knox (C)
Minyip Primary School,Primary,21 Main Street,3392,03 5385 7485,Yarriambiack (S)
Mulgrave Primary School,Primary,Gladeswood Drive,3170,03 9795 2477,Monash (C)
Yarragon Primary School,Primary,65 Loch Street,3823,03 5634 2375,Baw Baw (S)
Tyers Primary School,Primary,Main Road,3844,03 5191 8260,Latrobe (C)
Trafalgar Primary School,Primary,84 School Road,3824,03 5633 1566,Baw Baw (S)
Kinglake Primary School,Primary,20 Mcmahons Rd,3763,03 5786 1284,Murrindindi (S)
Ellinbank Primary School,Primary,13 Community Place,3821,03 5626 1338,Baw Baw (S)
Tambo Upper Primary School,Primary,890 Tambo Upper Road,3885,03 5156 4327,East Gippsland (S)
Baranduda Primary School,Primary,7 Verbena Street,3691,02 6020 8531,Wodonga (C)
Tungamah Primary School,Primary,15 -17 Tower Street,3728,03 5748 5627,Moira (S)
Bunyip Primary School,Primary,1290 Nar Nar Goon - Longwarry Road,3815,03 5629 5462,Cardinia (S)
Gunbower Primary School,Primary,School Road,3566,03 5487 1323,Campaspe (S)
Nar Nar Goon Primary School,Primary,27 Spencer Street,3812,03 5942 5311,Cardinia (S)
Toora Primary School,Primary,5 Harriet Street,3962,03 5686 2283,South Gippsland (S)
Montrose Primary School,Primary,17-21 Leith Road,3765,03 9728 2203,Yarra Ranges (S)
Koondrook Primary School,Primary,9 Punt Road,3580,03 5453 2428,Gannawarra (S)
Katunga South Primary School,Primary,245 Hays Road,3640,03 5864 6212,Moira (S)
Magpie Primary School,Primary,61 Docwra Street,3352,03 5335 8851,Ballarat (C)
Tawonga Primary School,Primary,Kiewa Valley Highway,3697,03 5754 4468,Alpine (S)
Narracan Primary School,Primary,32 School Road,3824,03 5634 8215,Baw Baw (S)
Drouin South Primary School,Primary,3061 Westernport Road,3818,03 5627 6286,Baw Baw (S)
Eskdale Primary School,Primary,3790 Omeo Highway,3701,0438 678 347,Towong (S)
Darnum Primary School,Primary,6 Graham Street,3822,03 5627 8273,Baw Baw (S)
Moorooduc Primary School,Primary,Cnr Derril Rd & Mornington Tyabb Rd,3933,03 5978 8330,Mornington Peninsula (S)
The Basin Primary School,Primary,Cnr Liverpool Road & Mountain Highway,3154,03 9762 1143,Knox (C)
Paynesville Primary School,Primary,31 - 47 Ashley Street,3880,03 5156 6334,East Gippsland (S)
Epsom Primary School,Primary,Howard Street,3551,03 5448 4318,Greater Bendigo (C)
Kensington Primary School,Primary,Mccracken Street,3031,03 9376 6013,Melbourne (C)
Hazelwood North Primary School,Primary,121 Church Road,3840,03 5166 1267,Latrobe (C)
Mirboo North Primary School,Primary,Balook Street,3871,03 5668 1375,South Gippsland (S)
Yinnar Primary School,Primary,30 Main Street,3869,03 5163 1362,Latrobe (C)
Neerim South Primary School,Primary,180 Main Neerim Road,3831,03 5628 1254,Baw Baw (S)
Ivanhoe Primary School,Primary,122 Waterdale Road,3079,03 9499 1880,Banyule (C)
Portarlington Primary School,Primary,100 Newcombe Street,3223,03 5259 2572,Greater Geelong (C)
Menzies Creek Primary School,Primary,12 School Road,3159,03 9754 3695,Yarra Ranges (S)
St Kilda Park Primary School,Primary,68 Fitzroy Street,3182,03 8598 6444,Port Phillip (C)
Labertouche Primary School,Primary,35 School Road,3816,03 5628 7503,Baw Baw (S)
Diggers Rest Primary School,Primary,Plumpton Road,3427,03 9740 1391,Melton (C)
Longwarry Primary School,Primary,5 McCrae Street,3816,03 5629 9376,Baw Baw (S)
Gembrook Primary School,Primary,50 Main Street,3783,03 5968 1313,Cardinia (S)
Wurruk Primary School,Primary,13 -19 Fisk Street,3850,03 5144 2975,Wellington (S)
Willow Grove Primary School,Primary,39-45 Moe-Willow Grove Road,3825,03 5635 2271,Baw Baw (S)
Hoddles Creek Primary School,Primary,700 Gembrook-Launching Place Road,3139,03 5967 4282,Yarra Ranges (S)
Beaconsfield Upper Primary School,Primary,40 Stoney Creek Road,3808,03 5944 3591,Cardinia (S)
Congupna Primary School,Primary,3580 Katamatite Road,3633,03 5829 9286,Greater Shepparton (C)
Redesdale Mia Mia Primary School,Primary,31 School Road,3444,03 5425 3155,Greater Bendigo (C)
Malvern Primary School,Primary,17 Tooronga Road,3145,03 9571 6281,Stonnington (C)
Launching Place Primary School,Primary,Carter Street,3139,03 5964 7783,Yarra Ranges (S)
Carlton Gardens Primary School,Primary,215 Rathdowne Street,3053,03 9663 6502,Melbourne (C)
Ascot Vale Primary School,Primary,Bank Street,3032,03 9370 6507,Moonee Valley (C)
Boolarra Primary School,Primary,Tarwin Street,3870,03 5169 6471,Latrobe (C)
Rosebud Primary School,Primary,Point Nepean Road,3939,03 5986 8274,Mornington Peninsula (S)
Koo Wee Rup Primary School,Primary,Moody Street,3981,03 5997 1272,Cardinia (S)
Armadale Primary School,Primary,9-23 Densham Road,3143,03 9822 7003,Stonnington (C)
Osborne Primary School,Primary,120 Craigie Rd,3934,03 5975 1792,Mornington Peninsula (S)
Somerville Primary School,Primary,37 Eramosa Road East,3912,03 5977 5421,Mornington Peninsula (S)
Willaura Primary School,Primary,14 Warranooke Street,3379,03 5354 1401,Ararat (RC)
Echuca East Primary School,Primary,21-31 Eyre Street,3564,03 5482 2588,Campaspe (S)
Lakes Entrance Primary School,Primary,49 Myer Street,3909,03 5155 1812,East Gippsland (S)
Myrrhee Primary School,Primary,1673 Benalla-whitfield Road,3732,03 5729 7524,Wangaratta (RC)
Longwood Primary School,Primary,1-21 Hurley Street,3665,03 5798 5386,Strathbogie (S)
Forrest Primary School,Primary,10 Grant Street,3236,03 5236 6393,Colac-Otway (S)
Fairfield Primary School,Primary,Langridge Street,3078,03 9489 2966,Darebin (C)
Nilma Primary School,Primary,76 Bloomfield Road,3821,03 5623 2963,Baw Baw (S)
Garfield Primary School,Primary,84 Railway Avenue,3814,03 5629 2274,Cardinia (S)
Yinnar South Primary School,Primary,Brewsters Road,3869,03 5169 1540,Latrobe (C)
Officer Primary School,Primary,13-23 Tivendale Rd,3809,03 5943 2315,Cardinia (S)
Brunswick South Primary School,Primary,56 Brunswick Road,3057,03 9380 1231,Moreland (C)
Orbost Primary School,Primary,10 Ruskin Street,3888,03 5154 1119,East Gippsland (S)
Inverloch Primary School,Primary,Bayview Avenue,3996,03 5674 1253,Bass Coast (S)
Surrey Hills Primary School,Primary,2 Beatrice Avenue,3127,03 9890 1560,Whitehorse (C)
Montague Continuing Education Centre,Special,100 Montague Street,3205,03 9690 3535,Port Phillip (C)
Strathmerton Primary School,Primary,Findlay Street,3641,03 5874 5295,Moira (S)
Laharum Primary School,Primary,1574 Northern Grampians Road,3401,03 5383 6202,Horsham (RC)
Walwa Primary School,Primary,Murray River Road,3709,02 6037 1380,Towong (S)
Middle Park Primary School,Primary,194 Richardson Street,3206,03 9690 1336,Port Phillip (C)
Seville Primary School,Primary,639 Warburton Highway,3139,03 5964 4557,Yarra Ranges (S)
Yarraville West Primary School,Primary,30 Powell Street,3013,03 9314 3816,Maribyrnong (C)
Moreland Primary School,Primary,157-163 Moreland Road,3058,03 9386 2510,Moreland (C)
Tanjil South Primary School,Primary,253 Moe-Willow Grove Road,3825,03 5160 1255,Baw Baw (S)
Pomonal Primary School,Primary,2859 Ararat - Halls Gap Road,3381,03 5356 6292,Ararat (RC)
Elsternwick Primary School,Primary,Murphy Street,3186,03 8534 6100,Bayside (C)
Glengarry Primary School,Primary,Cairnbrook Road,3854,03 5192 4292,Latrobe (C)
Carnegie Primary School,Primary,51 Truganini Road,3163,03 9571 2662,Glen Eira (C)
Lang Lang Primary School,Primary,52 Westernport Road,3984,03 5997 5322,Cardinia (S)
Croydon Primary School,Primary,Cnr Kent Avenue & Croydon Road,3136,03 9723 2472,Maroondah (C)
Moonee Ponds West Primary School,Primary,150 Athol Street,3039,03 9370 6875,Moonee Valley (C)
Mitcham Primary School,Primary,294 Mitcham Road,3132,03 9873 1551,Whitehorse (C)
Loch Primary School,Primary,2 Victoria Road,3945,03 5659 4254,South Gippsland (S)
Mildura Primary School,Primary,175-189 San Mateo Avenue,3500,03 5023 1851,Mildura (RC)
Blackburn Primary School,Primary,185 Surrey Road,3130,03 9878 1483,Whitehorse (C)
Newmerella Primary School,Primary,2-4 McLaughlins Road,3886,03 5154 1620,East Gippsland (S)
Port Melbourne Primary School,Primary,415 Graham Street,3207,03 9646 1001,Port Phillip (C)
Auburn Primary School,Primary,51 Rathmines Road,3123,03 9882 7035,Boroondara (C)
Mentone Primary School,Primary,6 Childers Street,3194,03 9583 2995,Kingston (C)
Princes Hill Primary School,Primary,280 Pigdon Street,3054,03 9389 5300,Yarra (C)
Gruyere Primary School,Primary,99 Killara Road,3770,03 5964 9260,Yarra Ranges (S)
Research Primary School,Primary,1570 Main Road,3095,03 9437 1917,Nillumbik (S)
Pearcedale Primary School,Primary,Baxter-tooradin Road,3912,03 5978 6250,Casey (C)
Lindenow South Primary School,Primary,607 Lindenow-Glenaladale Road,3875,03 5157 1397,East Gippsland (S)
Thorpdale Primary School,Primary,19 Robinson Street,3835,03 5634 6325,Baw Baw (S)
St Albans Primary School,Primary,39 West Esplanade,3021,03 9366 2832,Brimbank (C)
Leongatha Primary School,Primary,Nerrena Road,3953,03 5667 4600,South Gippsland (S)
Jeparit Primary School,Primary,Sands Avenue,3423,03 5397 2033,Hindmarsh (S)
Toorak Primary School,Primary,Canterbury Road,3142,03 9827 2959,Stonnington (C)
Baxter Primary School,Primary,Grant Road,3911,03 5971 1391,Mornington Peninsula (S)
Fish Creek and District Primary School,Primary,10 Foster Road,3959,03 5683 2271,South Gippsland (S)
Beaconsfield Primary School,Primary,71-77 Old Princes Highway,3807,03 9707 1510,Cardinia (S)
Metung Primary School,Primary,90 Stirling Road,3904,03 5156 2259,East Gippsland (S)
Newhaven Primary School,Primary,12-22 School Avenue,3925,03 5956 7326,Bass Coast (S)
Halls Gap Primary School,Primary,10-14 School Road,3381,03 5356 4235,Northern Grampians (S)
Tallygaroopna Primary School,Primary,24-34 Victoria Street,3634,03 5829 8264,Greater Shepparton (C)
Ormond Primary School,Primary,Cnr Murray & Wheatley Roads,3204,03 9578 1327,Glen Eira (C)
Korumburra Primary School,Primary,6 - 16 Mine Road,3950,03 5655 1309,South Gippsland (S)
Crib Point Primary School,Primary,70 Milne Street,3919,03 5983 9282,Mornington Peninsula (S)
Pascoe Vale Primary School,Primary,362 Gaffney Street,3044,03 9354 1611,Moreland (C)
Flowerdale Primary School,Primary,3377 Whittlesea Yea Road,3717,03 5780 1264,Murrindindi (S)
Ocean Grove Primary School,Primary,1 - 23 Draper Street,3226,03 5255 1340,Greater Geelong (C)
Beulah Primary School,Primary,Henty Highway,3395,03 5390 2332,Yarriambiack (S)
Merri Creek Primary School,Primary,Miller Street,3068,03 9481 0177,Yarra (C)
Sunshine Primary School,Primary,Cnr Hampshire & Derby Roads,3020,03 8311 5700,Brimbank (C)
Tyabb Primary School,Primary,186 Mornington-Tyabb Road,3913,03 5977 4584,Mornington Peninsula (S)
Wales Street Primary School,Primary,Wales Street,3071,03 9484 3949,Darebin (C)
Upper Sandy Creek Primary School,Primary,1037 Sandy Creek Road,3695,02 6071 8526,Indigo (S)
Spensley Street Primary School,Primary,193 Spensley Street,3068,03 9481 4666,Yarra (C)
Kew East Primary School,Primary,35 Kitchener Street,3102,03 9859 2903,Boroondara (C)
Nichols Point Primary School,Primary,110 Koorlong Avenue,3501,03 5023 1633,Mildura (RC)
Irymple Primary School,Primary,2032 15th Street,3498,03 5024 5334,Mildura (RC)
Brunswick East Primary School,Primary,195a Stewart Street,3057,03 9387 3361,Moreland (C)
Eagle Point Primary School,Primary,43 School Road,3878,03 5156 6382,East Gippsland (S)
Yarra Junction Primary School,Primary,2370 Warburton Highway,3797,03 5967 1544,Yarra Ranges (S)
Sassafras Primary School,Primary,399 Mt Dandenong Tourist Road,3787,03 9755 1203,Yarra Ranges (S)
Ferny Creek Primary School,Primary,School Road,3786,03 9755 1522,Yarra Ranges (S)
Toolangi Primary School,Primary,Main Road,3777,03 5962 9255,Murrindindi (S)
Wonga Park Primary School,Primary,Dudley Road,3115,03 9722 1325,Manningham (C)
Kinglake West Primary School,Primary,1041-1061 Whittlesea-Kinglake Rd,3757,03 5786 5262,Murrindindi (S)
Perseverance Primary School,Primary,Centreway,3921,03 5980 1292,Unincorporated Vic
Monbulk Primary School,Primary,1 Main Road,3793,03 9756 6481,Yarra Ranges (S)
Lake Boga Primary School,Primary,8 Williams Street,3584,03 5036 9000,Swan Hill (RC)
Chum Creek Primary School,Primary,705 Chum Creek Road,3777,03 5962 5391,Yarra Ranges (S)
Mount Dandenong Primary School,Primary,Farndons Road,3767,03 9751 1136,Yarra Ranges (S)
Nullawil Primary School,Primary,Church Street,3529,03 5493 5260,Buloke (S)
Badger Creek Primary School,Primary,Badger Creek Rd,3777,03 5962 4019,Yarra Ranges (S)
Middle Kinglake Primary School,Primary,1 Extons Road,3757,03 5786 1295,Murrindindi (S)
Point Lonsdale Primary School,Primary,22 Bowen Road,3225,03 5258 1501,Queenscliffe (B)
